"Amount","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","LineEx.any[0].name","LineEx.any[0].declaredType","LineEx.any[0].scope","LineEx.any[0].value.Name","LineEx.any[0].value.Value","LineEx.any[0].nil","LineEx.any[0].globalScope","LineEx.any[0].typeSubstituted","LineEx.any[1].name","LineEx.any[1].declaredType","LineEx.any[1].scope","LineEx.any[1].value.Name","LineEx.any[1].value.Value","LineEx.any[1].nil","LineEx.any[1].globalScope","LineEx.any[1].typeSubstituted","LineEx.any[2].name","LineEx.any[2].declaredType","LineEx.any[2].scope","LineEx.any[2].value.Name","LineEx.any[2].value.Value","LineEx.any[2].nil","LineEx.any[2].globalScope","LineEx.any[2].typeSubstituted","Parent_Id","TxnDate","DocNumber","Parent_Entity"
"943.0","36268",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"36268",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"943.00",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"856230",False,True,False,"37330","2025-01-28",,Payment
"1095.36","37646",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"37646",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"1095.36",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"856229",False,True,False,"37330","2025-01-28",,Payment
"1499.9","32082",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"32082",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"1499.90",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"758777",False,True,False,"37332","2025-02-03",,Payment
"955.4","36262",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"36262",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"955.40",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"756218",False,True,False,"37332","2025-02-03",,Payment
"1143.88","24584",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"24584",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"1143.88",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"743776",False,True,False,"37332","2025-02-03",,Payment
"353.4","32080",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"32080",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"353.40",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"758775",False,True,False,"37343","2025-02-03",,Payment
"2786.34","32313",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"32313",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"2786.34",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"763066",False,True,False,"37441","2025-02-20",,Payment
"534.02","32338",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"32338",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"534.02",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"763380",False,True,False,"37445","2025-02-20",,Payment
"1853.36","32065",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"32065",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"1853.36",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"758747",False,True,False,"35771","2025-01-07",,Payment
"719.36","30970",Invoice,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnId,"30970",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnOpenBalance,"719.36",False,True,False,{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,txnReferenceNumber,"753788",False,True,False,"35770","2025-01-07",,Payment
