"Amount","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","Parent_Id","TxnDate","DocNumber","Parent_Entity"
"1041.0","46700",Bill,"46776","2025-08-14","22323",BillPayment
"172.97","46690",Bill,"46783","2025-08-14","22330",BillPayment
"500.0","46324",Bill,"46782","2025-08-14","22329",BillPayment
"647.22","46704",Bill,"46781","2025-08-14","22328",BillPayment
"492.45","46706",Bill,"46781","2025-08-14","22328",BillPayment
"1013.04","46211",Bill,"46781","2025-08-14","22328",BillPayment
"984.9","46708",Bill,"46781","2025-08-14","22328",BillPayment
"844.2","46710",Bill,"46781","2025-08-14","22328",BillPayment
"703.5","46711",Bill,"46781","2025-08-14","22328",BillPayment
"1453.23","46713",Bill,"46781","2025-08-14","22328",BillPayment
"1055.25","46714",Bill,"46781","2025-08-14","22328",BillPayment
"613.05","46223",Bill,"46781","2025-08-14","22328",BillPayment
"2396.38","46685",Bill,"46780","2025-08-14","22327",BillPayment
"511.04","45988",Bill,"46779","2025-08-14","22326",BillPayment
"463.25","46681",Bill,"46779","2025-08-14","22326",BillPayment
"2020.0","46199",Bill,"46778","2025-08-14","22325",BillPayment
"1507.5","46200",Bill,"46785","2025-08-14","22332",BillPayment
"1044.77","46682",Bill,"46784","2025-08-14","22331",BillPayment
"728.26","46683",Bill,"46784","2025-08-14","22331",BillPayment
"82.79","46689",Bill,"46790","2025-07-16","22335",BillPayment
"224.0","46825",Bill,"46826","2025-08-20",Online,BillPayment
"23721.36","46821",Bill,"46827","2025-08-20",Online,BillPayment
"13494.77","46828",Bill,"46906","2025-08-20",online,BillPayment
"2627.65","46962",Bill,"46964","2025-08-29",online,BillPayment
"660.0","47030",Bill,"47031","2025-08-22",online,BillPayment
"1926.0","46325",Bill,"47135","2025-08-22","22340",BillPayment
"1220.22","47106",Bill,"47134","2025-08-22","22339",BillPayment
"1247.81","46900",Bill,"47134","2025-08-22","22339",BillPayment
"766.09","47057",Bill,"47133","2025-08-22","22338",BillPayment
"4725.18","47058",Bill,"47133","2025-08-22","22338",BillPayment
"723.7","47059",Bill,"47133","2025-08-22","22338",BillPayment
"1118.4","47060",Bill,"47133","2025-08-22","22338",BillPayment
"3324.04","47061",Bill,"47133","2025-08-22","22338",BillPayment
"162.82","46812",Bill,"47132","2025-08-22","22337",BillPayment
"12.11","46815",Bill,"47132","2025-08-22","22337",BillPayment
"376.96","46216",Bill,"47140","2025-08-22","22345",BillPayment
"61.08","46692",Bill,"47139","2025-08-22","22344",BillPayment
"61.08","46693",Bill,"47139","2025-08-22","22344",BillPayment
"95.26","46905",Bill,"47138","2025-08-22","22343",BillPayment
"266.95","47032",Bill,"47137","2025-08-22","22342",BillPayment
"619.08","46947",Bill,"47136","2025-08-22","22341",BillPayment
"408.03","46948",Bill,"47136","2025-08-22","22341",BillPayment
"379.89","46950",Bill,"47136","2025-08-22","22341",BillPayment
"830.13","46952",Bill,"47136","2025-08-22","22341",BillPayment
"914.55","47064",Bill,"47136","2025-08-22","22341",BillPayment
"295.47","46909",Bill,"47136","2025-08-22","22341",BillPayment
"264.55","47102",Bill,"47136","2025-08-22","22341",BillPayment
"756.0","45984",Bill,"47145","2025-08-22","22350",BillPayment
"5050.0","47101",Bill,"47144","2025-08-22","22349",BillPayment
"93.65","47114",Bill,"47143","2025-08-22","22348",BillPayment
"4918.48","47065",Bill,"47142","2025-08-22","22347",BillPayment
"288.75","46789",Bill,"47141","2025-08-22","22346",BillPayment
"126.0","46214",Bill,"47141","2025-08-22","22346",BillPayment
"126.0","46954",Bill,"47141","2025-08-22","22346",BillPayment
"316.25","46687",Bill,"47141","2025-08-22","22346",BillPayment
"12.39","47112",Bill,"47149","2025-08-22","22354",BillPayment
"458.12","46955",Bill,"47148","2025-08-22","22353",BillPayment
"597.3","47055",Bill,"47147","2025-08-22","22352",BillPayment
"110.67","47184",Bill,"47153","2025-08-22","11610",BillPayment
"2796.45","46196",Bill,"47153","2025-08-22","11610",BillPayment
"1063.57","37830",Bill,"47153","2025-08-22","11610",BillPayment
"792.62","47096",Bill,"47153","2025-08-22","11610",BillPayment
"755.17","47182",Bill,"47153","2025-08-22","11610",BillPayment
"37.45","47183",Bill,"47153","2025-08-22","11610",BillPayment
"1966.86","47572",VendorCredit,"47153","2025-08-22","11610",BillPayment
"7415.1","46787",Bill,"47152","2025-08-22","11609",BillPayment
"350.0","46810",Bill,"47152","2025-08-22","11609",BillPayment
"312.72","47056",Bill,"47151","2025-08-22","11608",BillPayment
"127.88","47113",Bill,"47150","2025-08-22","11607",BillPayment
"278.75","46730",Bill,"47156","2025-08-22","11613",BillPayment
"651.5","46703",Bill,"47155","2025-08-22","11612",BillPayment
"2222.72","47062",Bill,"47154","2025-08-22","11611",BillPayment
"3355.2","47063",Bill,"47154","2025-08-22","11611",BillPayment
"313.56","46701",Bill,"47160","2025-08-22","22358",BillPayment
"435.62","46688",Bill,"47159","2025-08-22","22357",BillPayment
"1234.14","47111",Bill,"47157","2025-08-22","22355",BillPayment
"75.73","46813",Bill,"47161","2025-08-22","22359",BillPayment
"150.0","47253",Bill,"47254","2025-08-27","22361",BillPayment
"675.36","47104",Bill,"47338","2025-08-29","22393",BillPayment
"590.94","47274",Bill,"47338","2025-08-29","22393",BillPayment
"450.24","47276",Bill,"47338","2025-08-29","22393",BillPayment
"379.89","47278",Bill,"47338","2025-08-29","22393",BillPayment
"196.98","47247",Bill,"47338","2025-08-29","22393",BillPayment
"633.64","46679",Bill,"47337","2025-08-29","22362",BillPayment
"633.64","46680",Bill,"47337","2025-08-29","22362",BillPayment
"626.88","44307",Bill,"47486","2025-04-30",,BillPayment
"626.88","47481",JournalEntry,"47486","2025-04-30",,BillPayment
"5000.0","47514",Bill,"47515","2025-09-02","22364",BillPayment
"240.0","47561",Bill,"47562","2025-09-04",online,BillPayment
"12139.27","46198",Bill,"47574","2025-09-03","22365",BillPayment
"1077.72","46078",Bill,"47603","2025-09-04",online,BillPayment
"417.2","46075",Bill,"47606","2025-09-04",online,BillPayment
"820.76","46077",Bill,"47605","2025-09-04",online,BillPayment
"292.4","46079",Bill,"47604","2025-09-04",online,BillPayment
"98.42","46097",Bill,"47608","2025-09-04",online,BillPayment
"1719.23","46096",Bill,"47607","2025-09-04",online,BillPayment
"102.1","46094",Bill,"47609","2025-09-04",online,BillPayment
"267.33","47537",Bill,"47615","2025-09-04","22368",BillPayment
"366.49","47539",Bill,"47615","2025-09-04","22368",BillPayment
"408.03","47547",Bill,"47615","2025-09-04","22368",BillPayment
"327.63","47548",Bill,"47615","2025-09-04","22368",BillPayment
"70.35","47247",Bill,"47615","2025-09-04","22368",BillPayment
"43.4","47115",Bill,"47614","2025-09-04","22367",BillPayment
"18.2","47563",Bill,"47614","2025-09-04","22367",BillPayment
"511.59","45987",Bill,"47613","2025-09-04","22366",BillPayment
"270.01","46695",Bill,"47619","2025-09-04","22372",BillPayment
"66.64","47564",Bill,"47618","2025-09-04","22371",BillPayment
"408.12","46715",Bill,"47617","2025-09-04","22370",BillPayment
"52.36","46686",Bill,"47617","2025-09-04","22370",BillPayment
"561.2","47550",Bill,"47616","2025-09-04","22369",BillPayment
"568.59","47551",Bill,"47616","2025-09-04","22369",BillPayment
"750.0","47524",Bill,"47624","2025-09-04","22377",BillPayment
"186.93","47290",Bill,"47623","2025-09-04","22376",BillPayment
"9829.32","47377",Bill,"47622","2025-09-04","22375",BillPayment
"30.0","47373",Bill,"47621","2025-09-04","22374",BillPayment
"2828.99","46805",JournalEntry,"47629","2025-09-04","22382",BillPayment
"863.87","47552",Bill,"47628","2025-09-04","22381",BillPayment
"863.87","46332",Bill,"47628","2025-09-04","22381",BillPayment
"250.0","47380",Bill,"47627","2025-09-04","22380",BillPayment
"314.14","46331",Bill,"47626","2025-09-04","22379",BillPayment
"2000.0","47381",Bill,"47625","2025-09-04","22378",BillPayment
"126.0","47264",Bill,"47636","2025-09-04","22389",BillPayment
"126.0","47553",Bill,"47636","2025-09-04","22389",BillPayment
"3984.82","47546",Bill,"47635","2025-09-04","22388",BillPayment
"2094.24","47559",Bill,"47633","2025-09-04","22386",BillPayment
"257.14","47265",Bill,"47632","2025-09-04","22385",BillPayment
"584.0","46702",Bill,"47631","2025-09-04","22384",BillPayment
"159.04","46696",Bill,"47638","2025-09-04","22391",BillPayment
"4350.0","47612",Bill,"47637","2025-09-04","22390",BillPayment
"167.02","46333",Bill,"47642","2025-09-04","11619",BillPayment
"30.0","47374",Bill,"47641","2025-09-04","11618",BillPayment
"5550.0","47376",Bill,"47640","2025-09-04","11617",BillPayment
"63.99","47184",Bill,"47640","2025-09-04","11617",BillPayment
"120.91","47182",Bill,"47640","2025-09-04","11617",BillPayment
"750.0","47375",Bill,"47640","2025-09-04","11617",BillPayment
"905.76","47579",Bill,"47639","2025-09-04","11616",BillPayment
"3500.0","47372",Bill,"47639","2025-09-04","11616",BillPayment
"296.5","47271",Bill,"47648","2025-09-04","11626",BillPayment
"92.33","47272",Bill,"47648","2025-09-04","11626",BillPayment
"48.43","46725",Bill,"47646","2025-09-04","11624",BillPayment
